16	3.42857e-06	2.16667e-06	1.8e-06	2e-06
196	5.75e-06	3.2093e-06	2.55844e-06	3.7037e-06
576	5.39474e-06	2.56742e-06	2.38318e-06	2.38806e-06
1156	6.60177e-06	3.09037e-06	4.00796e-06	3.00977e-06
1936	1.15638e-05	4.43213e-06	4.82194e-06	4.21344e-06
2916	1.364e-05	5.29644e-06	5.22984e-06	5.29954e-06
2916	1.41101e-05	6.89692e-06	6.89086e-06	6.8281e-06
5476	2.47872e-05	9.98878e-06	1.00531e-05	1.0363e-05
7056	2.84214e-05	1.31337e-05	1.36192e-05	1.28017e-05
8836	3.494e-05	1.64532e-05	1.59097e-05	1.75313e-05
10816	4.26503e-05	2.05952e-05	1.95871e-05	2.0645e-05
